LCD ,PLD,LFPD ,Density,PV(1),PV(2),PV(3),Dia,Pol,Dip,Qua ,Diffusion_Coefficient(?2/ps),D_LOG
18.71199,18.34894,18.71199,0.667524,6796.24,0.68876,1.03181,2.89,8.042,0,0.662,0.00365,-2.438127232
21.59684,21.37159,21.59684,0.502966,5521.76,0.76254,1.51609,2.89,8.042,0,0.662,0.00332,-2.479341563
19.48961,18.24946,19.48961,0.604593,3622.27,0.70712,1.16958,2.89,8.042,0,0.662,0.00149,-2.826372366
14.10425,13.7649,14.10425,0.70671,1986.29,0.6589,0.932348,2.89,8.042,0,0.662,0.00134,-2.872381514
12.905,11.30363,12.905,0.518463,4198.26,0.7611,1.46799,2.89,8.042,0,0.662,0.00128,-2.891506739
17.72714,17.52801,17.72714,0.682247,3356.85,0.6865,1.00623,2.89,8.042,0,0.662,0.00175,-2.756627247
16.97729,16.5619,16.97729,0.696146,3539.88,0.6893,0.990166,2.89,8.042,0,0.662,0.00217,-2.6632905
22.25586,21.99696,22.25586,0.610926,2035,0.72906,1.19337,2.89,8.042,0,0.662,0.00194,-2.713221797
15.16267,14.85314,15.16267,0.788773,983.8,0.64318,0.815418,2.89,8.042,0,0.662,0.00107,-2.970294447
16.14031,15.82205,16.14031,0.705665,990.438,0.66114,0.936904,2.89,8.042,0,0.662,0.0011,-2.957490989
19.28003,19.03653,19.28003,0.69075,3673.5,0.69218,1.00207,2.89,8.042,0,0.662,0.0017,-2.770768024
22.09147,21.82001,22.09147,0.557417,2049.74,0.73434,1.3174,2.89,8.042,0,0.662,0.00366,-2.436089131
30.82847,21.37753,30.82847,0.134383,30409.3,0.93212,6.93628,2.89,8.042,0,0.662,0.00888,-2.051366997
27.70126,27.5072,27.70126,0.526029,2539.1,0.74908,1.42403,2.89,8.042,0,0.662,0.00248,-2.605213889
31.59639,31.42483,31.59639,0.478439,3264.54,0.7723,1.61421,2.89,8.042,0,0.662,0.00353,-2.452588616
27.37273,27.15264,27.37273,0.562421,3506.49,0.75548,1.34326,2.89,8.042,0,0.662,0.00391,-2.408039982
31.97817,31.79613,31.97817,0.520358,4468.45,0.76924,1.47829,2.89,8.042,0,0.662,0.00595,-2.225384069
28.61768,28.45106,28.61768,0.546974,3409.41,0.76298,1.39491,2.89,8.042,0,0.662,0.00221,-2.654903823
30.47384,30.33059,30.47384,0.470464,3035.77,0.78676,1.67231,2.89,8.042,0,0.662,0.00406,-2.391835719
29.02379,28.94655,29.02379,0.423482,3370.51,0.78628,1.8567,2.89,8.042,0,0.662,0.00458,-2.338953715
29.61979,29.44973,29.61979,0.418586,3408.46,0.78594,1.87761,2.89,8.042,0,0.662,0.00551,-2.25910902
19.13609,19.00554,19.13609,0.592281,1866.88,0.71216,1.2024,2.89,8.042,0,0.662,0.00273,-2.564425997
17.74285,17.50947,17.74285,0.640357,1713.39,0.70666,1.10354,2.89,8.042,0,0.662,0.00217,-2.663675972
18.46814,17.39892,18.46814,0.351193,3651.75,0.82422,2.34692,2.89,8.042,0,0.662,0.0025,-2.602534708
28.97733,28.83791,28.97733,0.433976,3300.96,0.78488,1.80858,2.89,8.042,0,0.662,0.00545,-2.26380486
16.11614,14.17588,16.06326,0.191102,61236.6,0.90082,4.71381,2.89,8.042,0,0.662,0.00534,-2.27286312
16.1092,14.1657,16.1092,0.211883,61065.7,0.89698,4.23338,2.89,8.042,0,0.662,0.00823,-2.084609191
15.22203,14.61445,15.22203,0.545933,2169.35,0.7196,1.31811,2.89,8.042,0,0.662,0.00176,-2.755182151
16.51752,16.38611,16.51752,0.647789,1708.58,0.6725,1.03815,2.89,8.042,0,0.662,0.00158,-2.80234496
25.62212,25.51861,25.62212,0.493129,3188.85,0.74186,1.50439,2.89,8.042,0,0.662,0.00386,-2.413046081
24.50351,24.38006,24.50351,0.510773,3115.67,0.73354,1.43614,2.89,8.042,0,0.662,0.00594,-2.225938378
23.3108,23.23814,23.3108,0.516977,3100.8,0.73106,1.4141,2.89,8.042,0,0.662,0.00412,-2.385396077
24.14078,23.9675,24.14078,0.518329,3138.48,0.72804,1.40459,2.89,8.042,0,0.662,0.00274,-2.561620627
20.94701,20.81746,20.94701,0.615241,2894.45,0.68052,1.1061,2.89,8.042,0,0.662,0.00405,-2.392359261
